EntityID,Entidad,DxSindromatico
68,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DOLOR ABDOMINAL INTERMITENTE
132,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DOLOR ABDOMINAL CON DIARREA Y DHT
175,PROFESIONALES DE LA SALUD S.A,DIARREA SIN COMPROMISO GENERAL
207,ASOCIACION INDIGENA DEL CAUCA AIC,DOLOR ABDOMINAL
244,NUEVA EPS,INFECCION VIAS URINARIAS
290,ASMET SALUD CONTRIBUTIVO,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
368,UNION TEMPORAL TOLIHUILA,DOLOR ABDOMINAL POSTQUIRURGICO
377,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,TOS SECA MALESTAR GENERAL FIEBRE
415,E.P.S. SANITAS CONTRIBUTIVO.,PALIDEZ CUTANEA Y FRIALDAD
577,DIRECCION DE SANIDAD MILITAR,PARESTESIAS ASOCIADAS A ANSIEDAD
600,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DISNEA PACIENTE CON EPOC
710,E.P.S. SANITAS CONTRIBUTIVO.,ARDOR OCULAR
789,UNION TEMPORAL TOLIHUILA,TRAUMATISMO DEL OJO Y DE LA ORBITA
793,MALLAMAS EPS,OTORRAGIA /OTOLIQUIA POS TRAUMA
833,UNION TEMPORAL TOLIHUILA,VERTIGO SIN EMESIS
866,MALLAMAS EPS,ALTERACION VISUAL NO ESPECIFICADA
938,E.P.S. SANITAS CONTRIBUTIVO.,PALPITACIONES CON PULSO IRREGULAR
952,E.P.S. SANITAS CONTRIBUTIVO.,RETENCION URINARIA AGUDA
958,UNION TEMPORAL TOLIHUILA,EDEMA SIN TRAUMA
959,ASMET SALUD CONTRIBUTIVO,HEMORRAGIA SUBDURAL
976,ASOCIACION INDIGENA DEL CAUCA AIC,ACCIDENTE  CEREBRO VASCULAR
1017,ASOCIACION INDIGENA DEL CAUCA AIC,TOS SECA SIN COMPROMISO GENERAL
1059,SECRETARIA DE SALUD DPTAL DEL HUILA,CEFALEA Y FIEBRE
1065,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,AMIGDALITIS AGUDA
1091,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,TOS SECA MALESTAR GENERAL FIEBRE
1134,SANITAS PREPAGADA,CEFALEA
1305,NUEVA EPS,VERRUGAS ANOGENITALES
1354,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,ABSCESO CUTANEO FURUNCULO DE SITIO NO ESPECIFICADO
1379,LIBERTY SEGUROS S.A.,CELULITIS DE SITIO NO ESPECIFICADO
1395,NUEVA EPS,HERIDA DE LA MUÑECA Y DE LA MANO PARTE NO ESPECIFICADA
1410,SEGUROS DE VIDA SURAMERICANA Y ARL SURA,CELULITIS DE SITIO NO ESPECIFICADO
1468,NUEVA EPS,QUEMADURAS
